monitoringlocationid,monitoringlocationname,monitoringlocationlatitude,monitoringlocationlongitude,count,mean,median,min,max
6008303202,"Trib To Humber : At 6Th Line,  30M S. Of Patterson",43.93606701,-79.83753523,27,70.47657407407408,7.0,0.0075,518.0
6008303302,"Humber : At Finnerty Rd.(30Th Srd),  350M W. Ofhwy",43.96354451,-79.86072736,26,78.77678846153846,6.71,0.0075,573.0
6008303402,"Trib To Humber : At Duffy'S Lane,  275M S. Of Hwy 9",43.96477364,-79.87876261,28,54.127178571428566,7.550000000000001,0.001,402.0
6008303502,"Humber River : At 3Rd Line,  500M N. Of Hwy 9",43.96276226,-79.91994273,29,73.96068965517242,7.0,0.01,605.0
6008303602,"Trib To Humber : At 3Rd Line,  900M N. Of Hwy 9",43.96653064,-79.92083973,26,80.57534230769231,6.755,0.0014,585.0
6008303702,"Trib To Humber : At 1St Line,  1Km S. Of Sdrd 5",43.96937526,-79.95571936,26,82.38196923076923,7.26,0.0012,603.0
6008303802,Humber : At Airport Rd. 300M N. Of Hwy 9,43.94879589,-79.97181161,29,69.59143448275861,6.0,0.0016,552.0
6008303902,"Humber : At 6Th Line,  300M N. Of Hwy 9",43.94661389,-79.98572186,28,69.907125,6.625,0.0095,532.0
6008304002,"Humber : At 5Th Line,  400M N. Of Hwy 9",43.94329364,-80.00149098,28,65.72392857142857,7.925,0.01,506.0
6008304102,"Cold Creek West : At Columbia Way, 500M W. Of Albion-Vaugha",43.90331239,-79.73257936,30,66.93503333333334,6.5,0.001,532.0
6008304202,Trib To Cold Creek West : At Old Church Rd. 500M E.Of Mount Hope R,43.94047089,-79.79054898,30,124.62056666666668,9.1,0.0035,1140.0
6008304302,Trib. To Cold Creek West : At Mount Pleasant Rd. 500M S. Of Castled,43.92405401,-79.75099748,27,66.27225925925926,6.0,0.001,464.0
6008304402,"Trib To Cold Creek East : At 15Th Sdrd.,  350M W. Of Cold Creek Rd.",43.90855064,-79.71142998,31,60.9685,3.3,0.001,494.0
6008304502,Cold Creek : At Cold Creek Road,43.90589601,-79.70779186,26,68.02294230769232,3.55,0.0065,462.0
6008304602,"Humber : At Summerlea Park,  5M Upstr. Of W. Humbe",43.73295351,-79.54892473,32,69.908275,4.075,0.0025,637.0
6008304702,West Humber : At Summerlea Park,43.72996251,-79.55219823,27,116.8799037037037,8.42,0.0024,1040.0
6008304802,"Humber : Outfall Kleinburg,  Wpcp",43.83400914,-79.62956411,31,181.10357096774194,8.24,0.0028,1900.0
6008304902,W. Trib To Humber : In Park 350M N. Of Hwy 7 Woodbridge,43.78087926,-79.60401723,29,144.2925068965517,8.32,0.0025,1290.0
6008305002,E. Trib To Humber : In Park 350M N. Of Hwy 7 Woodbridge,43.78075039,-79.60315811,29,101.10937931034483,5.36,0.002,893.0
6008305102,"Centreville Creek : At 3Rd Line,  1.2Km S. Of 20Th Sdrd",43.88059539,-79.83425211,28,71.95792142857142,6.709999999999999,0.0018,563.0
6008305202,"Centreville Creek : At 20Th Sdrd,  200M E. Of 3Rd Line",43.88996851,-79.84351686,24,75.4398125,7.574999999999999,0.0055,489.0
6008305302,"Trib To Centreville Creek : At 4Th Line,  500M N Of Mill Lane",43.90822376,-79.84840648,27,68.38598518518518,6.0,0.0016,492.0
6008305402,"Trib To Centreville Creek : At 2Nd Line,  200M S Of 25Th Sdrd (Patter",43.89691689,-79.87956098,25,71.9013,6.36,0.0025,481.0
6008305502,"Trib To Centreville Creek : At The Grange Sdrd,  500M W. Of Mountain",43.86575026,-79.89274361,27,64.82111111111111,5.0,0.01,460.0
6008305602,"Trib To Humber : 30Th Sdrd,  400M W. Of 4Th Line",43.93548576,-79.89157686,27,64.35581481481482,8.0,0.001,510.0
6008305702,East Humber : At Kinghorn,43.91169089,-79.56409136,31,83.79263870967742,7.2,0.0018,745.0
6008305802,"Humber : At Woodbridge Ave,  50M W. Of Islington A",43.78651564,-79.58949973,31,67.33064193548387,6.0,0.0014,560.0
6008305902,"Humber : At Clarence Rd.,  Woodbridge",43.79117114,-79.59439523,29,66.70902068965518,10.0,0.0016,511.0
6008306002,"Humber : At Albion-Vaughan Twnin, 200M S. Of",43.88639901,-79.71737098,28,65.9344107142857,9.809999999999999,0.0035,491.0
