activity_datetime,characteristicname,count,mean,median,min,max,year,month,month_name
1968-04-30,Specific conductance,47,770.6382978723404,677.0,438.0,1460.0,1968,4,April
1968-04-30,"Temperature, water",41,10.341463414634147,11.0,6.0,13.0,1968,4,April
1968-04-30,"Total Phosphorus, mixed forms",47,673.9018510638299,0.13,0.007,22647.0,1968,4,April
1968-05-31,Chloride,35,75.71428571428571,58.0,13.0,196.0,1968,5,May
1968-05-31,Dissolved oxygen (DO),32,7.125,7.0,3.0,9.0,1968,5,May
1968-05-31,Kjeldahl nitrogen,34,3.059411764705882,1.59,0.28,12.8,1968,5,May
1968-05-31,Specific conductance,36,763.5277777777778,658.0,422.0,1680.0,1968,5,May
1968-05-31,"Temperature, water",32,14.875,15.0,10.5,22.0,1968,5,May
1968-05-31,"Total Phosphorus, mixed forms",36,104.63230555555555,0.18,0.003,1601.0,1968,5,May
1968-06-30,Chloride,27,79.0,54.0,12.0,242.0,1968,6,June
1968-06-30,Dissolved oxygen (DO),25,6.56,6.0,2.0,11.0,1968,6,June
1968-06-30,Kjeldahl nitrogen,27,3.757037037037037,1.38,0.4,25.2,1968,6,June
1968-06-30,Specific conductance,27,759.2222222222222,720.0,430.0,1534.0,1968,6,June
1968-06-30,"Temperature, water",26,19.673076923076923,20.0,7.0,23.5,1968,6,June
1968-06-30,"Total Phosphorus, mixed forms",27,2961.245185185185,0.75,0.01,31471.0,1968,6,June
1968-07-31,Chloride,48,93.375,53.5,12.0,574.0,1968,7,July
1968-07-31,Dissolved oxygen (DO),46,6.978260869565218,8.0,0.0,16.0,1968,7,July
1968-07-31,Kjeldahl nitrogen,48,6.932708333333333,0.99,0.14,170.0,1968,7,July
1968-07-31,Specific conductance,42,859.2142857142857,732.5,417.0,3714.0,1968,7,July
1968-07-31,"Temperature, water",46,20.902173913043477,21.0,16.0,26.0,1968,7,July
1968-07-31,"Total Phosphorus, mixed forms",47,1734.052340425532,0.28,0.01,22288.0,1968,7,July
1968-08-31,Chloride,28,68.46428571428571,47.0,3.0,227.0,1968,8,August
1968-08-31,Dissolved oxygen (DO),27,7.925925925925926,8.0,3.0,11.0,1968,8,August
1968-08-31,Kjeldahl nitrogen,29,4.200689655172414,1.2,0.26,23.0,1968,8,August
1968-08-31,Specific conductance,29,816.448275862069,893.0,413.0,1535.0,1968,8,August
1968-08-31,"Temperature, water",27,19.09259259259259,18.5,15.0,25.0,1968,8,August
1968-08-31,"Total Phosphorus, mixed forms",29,1677.6327586206896,0.45,0.02,20654.0,1968,8,August
1968-09-30,Chloride,34,75.26470588235294,59.5,8.0,206.0,1968,9,September
1968-09-30,Dissolved oxygen (DO),32,7.125,7.5,0.0,11.0,1968,9,September
1968-09-30,Kjeldahl nitrogen,34,4.639411764705883,0.96,0.16,27.0,1968,9,September
1968-09-30,Specific conductance,35,786.1428571428571,686.0,446.0,1600.0,1968,9,September
1968-09-30,"Temperature, water",32,19.015625,19.0,13.5,23.0,1968,9,September
1968-09-30,"Total Phosphorus, mixed forms",35,1895.6265714285717,0.26,0.01,21961.0,1968,9,September
1968-10-31,Chloride,45,58.955555555555556,25.0,1.0,235.0,1968,10,October
1968-10-31,Dissolved oxygen (DO),40,7.125,8.0,0.0,12.0,1968,10,October
1968-10-31,Kjeldahl nitrogen,45,16.467111111111112,0.8,0.24,520.0,1968,10,October
1968-10-31,Specific conductance,45,874.7777777777778,591.0,330.0,4738.0,1968,10,October
1968-10-31,"Temperature, water",40,12.2125,12.25,7.0,17.0,1968,10,October
1968-10-31,"Total Phosphorus, mixed forms",45,1174.9684444444445,0.22,0.01,21307.0,1968,10,October
1968-11-30,Chloride,33,78.3030303030303,56.0,9.0,270.0,1968,11,November
1968-11-30,Dissolved oxygen (DO),30,7.7,8.0,3.0,11.0,1968,11,November
1968-11-30,Kjeldahl nitrogen,33,3.758181818181818,0.88,0.24,25.0,1968,11,November
1968-11-30,Specific conductance,32,767.40625,679.5,468.0,1570.0,1968,11,November
1968-11-30,"Temperature, water",30,6.4,6.5,2.0,13.0,1968,11,November
1968-11-30,"Total Phosphorus, mixed forms",33,4262.451818181818,0.29,0.01,50654.0,1968,11,November
1968-12-31,Chloride,25,95.88,62.0,16.0,431.0,1968,12,December
1968-12-31,Dissolved oxygen (DO),23,6.817391304347827,8.0,0.8,11.0,1968,12,December
1968-12-31,Kjeldahl nitrogen,25,5.4952,1.0,0.49,99.0,1968,12,December
1968-12-31,Specific conductance,24,794.4166666666666,678.0,427.0,2959.0,1968,12,December
1968-12-31,"Temperature, water",25,4.26,4.0,0.0,8.0,1968,12,December
1968-12-31,"Total Phosphorus, mixed forms",25,1099.5444,0.24,0.11,21634.0,1968,12,December
1969-01-31,Chloride,38,194.44736842105263,115.0,15.0,1251.0,1969,1,January
1969-01-31,Dissolved oxygen (DO),37,8.121621621621621,8.0,0.5,12.0,1969,1,January
1969-01-31,Kjeldahl nitrogen,38,3.5915789473684208,1.75,0.3,13.0,1969,1,January
1969-01-31,Specific conductance,38,1116.3947368421052,811.5,522.0,4493.0,1969,1,January
1969-01-31,"Temperature, water",37,1.8891891891891894,1.5,0.0,10.0,1969,1,January
1969-01-31,"Total Phosphorus, mixed forms",37,1.0535135135135136,0.49,0.1,6.9,1969,1,January
1969-02-28,Chloride,29,164.58620689655172,128.0,12.0,769.0,1969,2,February
1969-02-28,Dissolved oxygen (DO),27,7.518518518518518,8.0,4.0,10.0,1969,2,February
1969-02-28,Kjeldahl nitrogen,29,4.4896551724137925,1.7,0.3,27.0,1969,2,February
1969-02-28,Specific conductance,30,1103.8666666666666,979.0,504.0,3050.0,1969,2,February
1969-02-28,"Temperature, water",27,1.7962962962962963,1.5,0.0,6.0,1969,2,February
1969-02-28,"Total Phosphorus, mixed forms",26,1.146923076923077,0.54,0.04,6.5,1969,2,February
